waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.002850	6.031290E-1
01-01-1904  00:00:00.002875	6.031290E-1
01-01-1904  00:00:00.002900	6.005792E-1
01-01-1904  00:00:00.002925	5.980293E-1
01-01-1904  00:00:00.002950	6.005792E-1
01-01-1904  00:00:00.002975	6.056789E-1
01-01-1904  00:00:00.003000	6.005792E-1
01-01-1904  00:00:00.003025	5.967543E-1
01-01-1904  00:00:00.003050	5.993042E-1
01-01-1904  00:00:00.003075	5.980293E-1
01-01-1904  00:00:00.003100	6.069539E-1
01-01-1904  00:00:00.003125	5.993042E-1
01-01-1904  00:00:00.003150	6.005792E-1
01-01-1904  00:00:00.003175	6.005792E-1
01-01-1904  00:00:00.003200	6.056789E-1
01-01-1904  00:00:00.003225	5.980293E-1
01-01-1904  00:00:00.003250	6.018541E-1
01-01-1904  00:00:00.003275	5.942044E-1
01-01-1904  00:00:00.003300	6.069539E-1
01-01-1904  00:00:00.003325	6.005792E-1
01-01-1904  00:00:00.003350	6.056789E-1
01-01-1904  00:00:00.003375	5.954794E-1
01-01-1904  00:00:00.003400	6.044040E-1
01-01-1904  00:00:00.003425	5.980293E-1
01-01-1904  00:00:00.003450	6.044040E-1
01-01-1904  00:00:00.003475	5.993042E-1
01-01-1904  00:00:00.003500	6.031290E-1
01-01-1904  00:00:00.003525	5.993042E-1
01-01-1904  00:00:00.003550	6.069539E-1
01-01-1904  00:00:00.003575	6.005792E-1
01-01-1904  00:00:00.003600	6.133286E-1
01-01-1904  00:00:00.003625	5.903796E-1
01-01-1904  00:00:00.003650	6.120536E-1
01-01-1904  00:00:00.003675	5.993042E-1
01-01-1904  00:00:00.003700	6.069539E-1
01-01-1904  00:00:00.003725	5.954794E-1
01-01-1904  00:00:00.003750	6.044040E-1
01-01-1904  00:00:00.003775	6.005792E-1
01-01-1904  00:00:00.003800	6.044040E-1
01-01-1904  00:00:00.003825	6.107787E-1
01-01-1904  00:00:00.003850	5.942044E-1
01-01-1904  00:00:00.003875	6.107787E-1
01-01-1904  00:00:00.003900	6.005792E-1
01-01-1904  00:00:00.003925	6.056789E-1
01-01-1904  00:00:00.003950	5.954794E-1
01-01-1904  00:00:00.003975	6.018541E-1
01-01-1904  00:00:00.004000	6.056789E-1
01-01-1904  00:00:00.004025	6.158784E-1
01-01-1904  00:00:00.004050	5.903796E-1
01-01-1904  00:00:00.004075	6.069539E-1
01-01-1904  00:00:00.004100	5.967543E-1
01-01-1904  00:00:00.004125	6.069539E-1
01-01-1904  00:00:00.004150	5.993042E-1
01-01-1904  00:00:00.004175	6.044040E-1
01-01-1904  00:00:00.004200	5.993042E-1
01-01-1904  00:00:00.004225	6.082288E-1
01-01-1904  00:00:00.004250	5.954794E-1
01-01-1904  00:00:00.004275	6.082288E-1
01-01-1904  00:00:00.004300	5.954794E-1
01-01-1904  00:00:00.004325	6.005792E-1
01-01-1904  00:00:00.004350	6.044040E-1
01-01-1904  00:00:00.004375	6.056789E-1
01-01-1904  00:00:00.004400	6.044040E-1
01-01-1904  00:00:00.004425	5.980293E-1
01-01-1904  00:00:00.004450	5.980293E-1
01-01-1904  00:00:00.004475	6.044040E-1
01-01-1904  00:00:00.004500	6.031290E-1
01-01-1904  00:00:00.004525	6.044040E-1
01-01-1904  00:00:00.004550	6.005792E-1
01-01-1904  00:00:00.004575	6.031290E-1
01-01-1904  00:00:00.004600	6.095037E-1
01-01-1904  00:00:00.004625	6.056789E-1
01-01-1904  00:00:00.004650	6.044040E-1
01-01-1904  00:00:00.004675	5.929295E-1
01-01-1904  00:00:00.004700	6.056789E-1
01-01-1904  00:00:00.004725	6.044040E-1
01-01-1904  00:00:00.004750	6.056789E-1
01-01-1904  00:00:00.004775	6.031290E-1
01-01-1904  00:00:00.004800	6.018541E-1
01-01-1904  00:00:00.004825	6.056789E-1
01-01-1904  00:00:00.004850	6.018541E-1
01-01-1904  00:00:00.004875	6.031290E-1
01-01-1904  00:00:00.004900	5.980293E-1
01-01-1904  00:00:00.004925	6.031290E-1
01-01-1904  00:00:00.004950	6.044040E-1
01-01-1904  00:00:00.004975	6.095037E-1
01-01-1904  00:00:00.005000	6.005792E-1
01-01-1904  00:00:00.005025	6.069539E-1
01-01-1904  00:00:00.005050	5.967543E-1
01-01-1904  00:00:00.005075	6.107787E-1
01-01-1904  00:00:00.005100	6.005792E-1
01-01-1904  00:00:00.005125	6.069539E-1
01-01-1904  00:00:00.005150	6.005792E-1
01-01-1904  00:00:00.005175	6.069539E-1
01-01-1904  00:00:00.005200	6.044040E-1
01-01-1904  00:00:00.005225	6.095037E-1
01-01-1904  00:00:00.005250	6.018541E-1
01-01-1904  00:00:00.005275	5.942044E-1
01-01-1904  00:00:00.005300	6.044040E-1
01-01-1904  00:00:00.005325	6.056789E-1
01-01-1904  00:00:00.005350	6.044040E-1
01-01-1904  00:00:00.005375	6.018541E-1
01-01-1904  00:00:00.005400	5.993042E-1
01-01-1904  00:00:00.005425	6.056789E-1
01-01-1904  00:00:00.005450	6.056789E-1
01-01-1904  00:00:00.005475	6.069539E-1
01-01-1904  00:00:00.005500	5.954794E-1
01-01-1904  00:00:00.005525	6.031290E-1
01-01-1904  00:00:00.005550	6.056789E-1
01-01-1904  00:00:00.005575	6.107787E-1
01-01-1904  00:00:00.005600	6.018541E-1
01-01-1904  00:00:00.005625	6.044040E-1
01-01-1904  00:00:00.005650	6.031290E-1
01-01-1904  00:00:00.005675	6.069539E-1
01-01-1904  00:00:00.005700	6.120536E-1
01-01-1904  00:00:00.005725	5.954794E-1
01-01-1904  00:00:00.005750	6.056789E-1
01-01-1904  00:00:00.005775	6.005792E-1
01-01-1904  00:00:00.005800	6.082288E-1
01-01-1904  00:00:00.005825	6.056789E-1
01-01-1904  00:00:00.005850	6.031290E-1
01-01-1904  00:00:00.005875	6.018541E-1
01-01-1904  00:00:00.005900	6.082288E-1
01-01-1904  00:00:00.005925	5.993042E-1
01-01-1904  00:00:00.005950	6.082288E-1
01-01-1904  00:00:00.005975	6.005792E-1
01-01-1904  00:00:00.006000	6.056789E-1
01-01-1904  00:00:00.006025	6.056789E-1
01-01-1904  00:00:00.006050	6.069539E-1
01-01-1904  00:00:00.006075	6.095037E-1
01-01-1904  00:00:00.006100	6.005792E-1
01-01-1904  00:00:00.006125	6.031290E-1
01-01-1904  00:00:00.006150	6.031290E-1
01-01-1904  00:00:00.006175	6.158784E-1
01-01-1904  00:00:00.006200	5.954794E-1
01-01-1904  00:00:00.006225	6.107787E-1
01-01-1904  00:00:00.006250	5.993042E-1
01-01-1904  00:00:00.006275	6.082288E-1
01-01-1904  00:00:00.006300	6.056789E-1
01-01-1904  00:00:00.006325	6.056789E-1
01-01-1904  00:00:00.006350	6.018541E-1
01-01-1904  00:00:00.006375	6.082288E-1
01-01-1904  00:00:00.006400	5.993042E-1
01-01-1904  00:00:00.006425	6.146035E-1
01-01-1904  00:00:00.006450	5.993042E-1
01-01-1904  00:00:00.006475	6.095037E-1
01-01-1904  00:00:00.006500	6.005792E-1
01-01-1904  00:00:00.006525	6.069539E-1
01-01-1904  00:00:00.006550	6.056789E-1
01-01-1904  00:00:00.006575	6.146035E-1
01-01-1904  00:00:00.006600	5.929295E-1
01-01-1904  00:00:00.006625	6.095037E-1
01-01-1904  00:00:00.006650	6.018541E-1
01-01-1904  00:00:00.006675	6.120536E-1
01-01-1904  00:00:00.006700	6.031290E-1
01-01-1904  00:00:00.006725	6.031290E-1
01-01-1904  00:00:00.006750	6.044040E-1
01-01-1904  00:00:00.006775	6.107787E-1
01-01-1904  00:00:00.006800	6.005792E-1
01-01-1904  00:00:00.006825	6.095037E-1
01-01-1904  00:00:00.006850	5.980293E-1
01-01-1904  00:00:00.006875	6.056789E-1
01-01-1904  00:00:00.006900	6.069539E-1
01-01-1904  00:00:00.006925	6.095037E-1
01-01-1904  00:00:00.006950	6.069539E-1
01-01-1904  00:00:00.006975	6.018541E-1
01-01-1904  00:00:00.007000	5.954794E-1
01-01-1904  00:00:00.007025	6.107787E-1
01-01-1904  00:00:00.007050	6.082288E-1
01-01-1904  00:00:00.007075	6.056789E-1
01-01-1904  00:00:00.007100	6.044040E-1
01-01-1904  00:00:00.007125	6.018541E-1
01-01-1904  00:00:00.007150	6.095037E-1
01-01-1904  00:00:00.007175	6.056789E-1
01-01-1904  00:00:00.007200	6.082288E-1
01-01-1904  00:00:00.007225	5.942044E-1
01-01-1904  00:00:00.007250	6.095037E-1
01-01-1904  00:00:00.007275	6.018541E-1
01-01-1904  00:00:00.007300	6.095037E-1
01-01-1904  00:00:00.007325	6.056789E-1
01-01-1904  00:00:00.007350	6.018541E-1
01-01-1904  00:00:00.007375	6.044040E-1
01-01-1904  00:00:00.007400	6.031290E-1
01-01-1904  00:00:00.007425	6.069539E-1
01-01-1904  00:00:00.007450	6.056789E-1
01-01-1904  00:00:00.007475	6.044040E-1
01-01-1904  00:00:00.007500	6.044040E-1
01-01-1904  00:00:00.007525	6.069539E-1
01-01-1904  00:00:00.007550	6.044040E-1
01-01-1904  00:00:00.007575	6.146035E-1
01-01-1904  00:00:00.007600	5.942044E-1
01-01-1904  00:00:00.007625	6.082288E-1
01-01-1904  00:00:00.007650	6.056789E-1
01-01-1904  00:00:00.007675	6.133286E-1
01-01-1904  00:00:00.007700	6.031290E-1
01-01-1904  00:00:00.007725	6.056789E-1
01-01-1904  00:00:00.007750	6.031290E-1
01-01-1904  00:00:00.007775	6.184283E-1
01-01-1904  00:00:00.007800	5.967543E-1
01-01-1904  00:00:00.007825	6.133286E-1
01-01-1904  00:00:00.007850	5.967543E-1
01-01-1904  00:00:00.007875	6.082288E-1
01-01-1904  00:00:00.007900	6.031290E-1
01-01-1904  00:00:00.007925	6.120536E-1
01-01-1904  00:00:00.007950	6.044040E-1
01-01-1904  00:00:00.007975	6.082288E-1
01-01-1904  00:00:00.008000	6.005792E-1
01-01-1904  00:00:00.008025	6.095037E-1
01-01-1904  00:00:00.008050	6.056789E-1
01-01-1904  00:00:00.008075	6.095037E-1
01-01-1904  00:00:00.008100	6.005792E-1
01-01-1904  00:00:00.008125	6.044040E-1
01-01-1904  00:00:00.008150	6.069539E-1
01-01-1904  00:00:00.008175	6.171534E-1
01-01-1904  00:00:00.008200	5.993042E-1
01-01-1904  00:00:00.008225	6.107787E-1
01-01-1904  00:00:00.008250	6.018541E-1
01-01-1904  00:00:00.008275	6.107787E-1
01-01-1904  00:00:00.008300	6.056789E-1
01-01-1904  00:00:00.008325	6.095037E-1
01-01-1904  00:00:00.008350	6.005792E-1
01-01-1904  00:00:00.008375	6.146035E-1
01-01-1904  00:00:00.008400	5.954794E-1
01-01-1904  00:00:00.008425	6.158784E-1
01-01-1904  00:00:00.008450	6.018541E-1
01-01-1904  00:00:00.008475	6.107787E-1
01-01-1904  00:00:00.008500	6.005792E-1
01-01-1904  00:00:00.008525	6.095037E-1
01-01-1904  00:00:00.008550	6.082288E-1
01-01-1904  00:00:00.008575	6.171534E-1
01-01-1904  00:00:00.008600	5.942044E-1
01-01-1904  00:00:00.008625	6.095037E-1
01-01-1904  00:00:00.008650	6.005792E-1
01-01-1904  00:00:00.008675	6.107787E-1
01-01-1904  00:00:00.008700	6.044040E-1
01-01-1904  00:00:00.008725	6.069539E-1
01-01-1904  00:00:00.008750	6.031290E-1
01-01-1904  00:00:00.008775	6.158784E-1
01-01-1904  00:00:00.008800	6.005792E-1
01-01-1904  00:00:00.008825	6.158784E-1
01-01-1904  00:00:00.008850	6.018541E-1
01-01-1904  00:00:00.008875	6.069539E-1
01-01-1904  00:00:00.008900	6.044040E-1
01-01-1904  00:00:00.008925	6.069539E-1
01-01-1904  00:00:00.008950	6.095037E-1
01-01-1904  00:00:00.008975	6.107787E-1
01-01-1904  00:00:00.009000	5.954794E-1
01-01-1904  00:00:00.009025	6.082288E-1
01-01-1904  00:00:00.009050	6.056789E-1
01-01-1904  00:00:00.009075	6.120536E-1
01-01-1904  00:00:00.009100	6.056789E-1
01-01-1904  00:00:00.009125	6.056789E-1
01-01-1904  00:00:00.009150	6.082288E-1
01-01-1904  00:00:00.009175	6.056789E-1
01-01-1904  00:00:00.009200	6.056789E-1
01-01-1904  00:00:00.009225	6.082288E-1
01-01-1904  00:00:00.009250	6.005792E-1
01-01-1904  00:00:00.009275	6.069539E-1
01-01-1904  00:00:00.009300	6.056789E-1
01-01-1904  00:00:00.009325	6.120536E-1
01-01-1904  00:00:00.009350	6.056789E-1
01-01-1904  00:00:00.009375	6.095037E-1
01-01-1904  00:00:00.009400	6.056789E-1
01-01-1904  00:00:00.009425	6.044040E-1
01-01-1904  00:00:00.009450	6.082288E-1
01-01-1904  00:00:00.009475	6.107787E-1
01-01-1904  00:00:00.009500	6.044040E-1
01-01-1904  00:00:00.009525	6.056789E-1
01-01-1904  00:00:00.009550	6.056789E-1
01-01-1904  00:00:00.009575	6.158784E-1
01-01-1904  00:00:00.009600	6.018541E-1
01-01-1904  00:00:00.009625	6.120536E-1
01-01-1904  00:00:00.009650	5.993042E-1
01-01-1904  00:00:00.009675	6.095037E-1
01-01-1904  00:00:00.009700	6.056789E-1
01-01-1904  00:00:00.009725	6.133286E-1
01-01-1904  00:00:00.009750	6.044040E-1
01-01-1904  00:00:00.009775	6.069539E-1
01-01-1904  00:00:00.009800	6.056789E-1
01-01-1904  00:00:00.009825	6.146035E-1
01-01-1904  00:00:00.009850	6.018541E-1
01-01-1904  00:00:00.009875	6.133286E-1
01-01-1904  00:00:00.009900	5.993042E-1
01-01-1904  00:00:00.009925	6.069539E-1
01-01-1904  00:00:00.009950	6.069539E-1
01-01-1904  00:00:00.009975	6.120536E-1
01-01-1904  00:00:00.010000	6.056789E-1
01-01-1904  00:00:00.010025	6.133286E-1
01-01-1904  00:00:00.010050	5.993042E-1
01-01-1904  00:00:00.010075	6.133286E-1
