depth[mm]	HF [V]	NF [V]	TGC [dB]
101,0	0,002	-0,002	0,000
101,1	0,001	-0,002	0,000
101,3	0,002	-0,001	0,000
101,4	0,002	-0,001	0,000
101,6	0,002	-0,002	0,000
101,7	0,002	-0,002	0,000
101,8	0,002	-0,002	0,000
102,0	0,002	-0,001	0,000
102,1	0,002	-0,001	0,000
102,2	0,004	-0,003	0,000
102,4	0,005	-0,002	0,000
102,5	0,006	0,001	0,000
102,6	0,006	0,005	0,000
102,8	0,005	0,005	0,000
102,9	0,004	0,001	0,000
103,1	0,003	-0,003	0,000
103,2	0,003	-0,002	0,000
103,3	0,003	0,000	0,000
103,5	0,002	0,002	0,000
103,6	0,002	0,002	0,000
103,7	0,001	0,000	0,000
103,9	0,001	0,000	0,000
104,0	0,001	0,001	0,000
104,1	0,001	0,002	0,000
104,3	0,002	0,001	0,000
104,4	0,002	0,000	0,000
104,6	0,002	-0,001	0,000
104,7	0,002	-0,002	0,000
104,8	0,002	-0,002	0,000
105,0	0,002	-0,002	0,000
105,1	0,002	-0,002	0,000
105,2	0,003	-0,002	0,000
105,4	0,003	-0,002	0,000
105,5	0,004	-0,001	0,000
105,7	0,005	0,002	0,000
105,8	0,005	0,004	0,000
105,9	0,004	0,004	0,000
106,1	0,003	0,003	0,000
106,2	0,002	0,001	0,000
106,3	0,001	0,001	0,000
106,5	0,001	0,001	0,000
106,6	0,002	0,001	0,000
106,7	0,003	-0,002	0,000
106,9	0,004	-0,003	0,000
107,0	0,004	0,000	0,000
107,2	0,005	0,004	0,000
107,3	0,005	0,005	0,000
107,4	0,005	0,001	0,000
107,6	0,005	-0,003	0,000
107,7	0,004	-0,004	0,000
107,8	0,003	-0,001	0,000
108,0	0,002	0,001	0,000
108,1	0,002	0,002	0,000
108,2	0,002	0,000	0,000
108,4	0,002	-0,002	0,000
108,5	0,002	-0,002	0,000
108,7	0,003	-0,002	0,000
108,8	0,003	0,000	0,000
108,9	0,004	0,002	0,000
109,1	0,004	0,004	0,000
109,2	0,005	0,004	0,000
109,3	0,005	0,003	0,000
109,5	0,004	0,001	0,000
109,6	0,003	-0,001	0,000
109,7	0,003	-0,002	0,000
109,9	0,002	-0,002	0,000
110,0	0,002	-0,002	0,000
110,2	0,002	-0,001	0,000
110,3	0,001	0,000	0,000
110,4	0,001	0,001	0,000
110,6	0,001	0,001	0,000
110,7	0,001	0,001	0,000
110,8	0,002	0,001	0,000
111,0	0,002	0,000	0,000
111,1	0,003	-0,001	0,000
111,2	0,002	-0,002	0,000
111,4	0,002	-0,002	0,000
111,5	0,002	-0,001	0,000
111,7	0,002	-0,002	0,000
111,8	0,002	-0,002	0,000
111,9	0,002	-0,002	0,000
112,1	0,003	0,001	0,000
112,2	0,003	0,002	0,000
112,3	0,003	0,001	0,000
112,5	0,003	-0,001	0,000
112,6	0,002	-0,003	0,000
112,7	0,002	-0,002	0,000
112,9	0,002	-0,001	0,000
113,0	0,002	-0,001	0,000
113,2	0,003	-0,003	0,000
113,3	0,004	-0,003	0,000
113,4	0,006	0,000	0,000
113,6	0,007	0,005	0,000
113,7	0,007	0,007	0,000
113,8	0,007	0,005	0,000
114,0	0,005	0,000	0,000
114,1	0,004	-0,002	0,000
